respondent,completeness,retained,n_answered
11,1.0,True,60
12,0.9833333333333333,True,59
13,1.0,True,60
14,1.0,True,60
16,1.0,True,60
17,1.0,True,60
18,1.0,True,60
19,0.9833333333333333,True,59
20,1.0,True,60
21,1.0,True,60
22,1.0,True,60
24,0.95,True,57
26,1.0,True,60
29,1.0,True,60
30,0.25,False,15
31,1.0,True,60
32,0.9833333333333333,True,59
35,1.0,True,60
36,1.0,True,60
37,1.0,True,60
38,1.0,True,60
39,0.25,False,15
40,0.9666666666666667,True,58
41,1.0,True,60
42,0.95,True,57
43,1.0,True,60
44,0.0,False,0
45,1.0,True,60
46,1.0,True,60
48,1.0,True,60
49,1.0,True,60
50,1.0,True,60
52,1.0,True,60
53,1.0,True,60
54,1.0,True,60
55,1.0,True,60
56,1.0,True,60
57,1.0,True,60
58,1.0,True,60
59,1.0,True,60
60,0.0,False,0
61,1.0,True,60
62,1.0,True,60
63,1.0,True,60
64,1.0,True,60
65,1.0,True,60
66,1.0,True,60
67,1.0,True,60
68,0.0,False,0
69,0.9833333333333333,True,59
70,1.0,True,60
72,1.0,True,60
73,0.0,False,0
74,1.0,True,60
77,0.25,False,15
78,0.0,False,0
79,0.75,True,45
80,1.0,True,60
81,0.95,True,57
82,1.0,True,60
83,1.0,True,60
84,0.9833333333333333,True,59
85,1.0,True,60
86,1.0,True,60
87,0.25,False,15
89,1.0,True,60
90,1.0,True,60
91,1.0,True,60
92,0.9333333333333333,True,56
93,0.9666666666666667,True,58
94,1.0,True,60
95,0.9666666666666667,True,58
97,1.0,True,60
99,1.0,True,60
101,1.0,True,60
102,0.9666666666666667,True,58
103,0.9666666666666667,True,58
104,1.0,True,60
105,1.0,True,60
106,1.0,True,60
108,1.0,True,60
109,1.0,True,60
110,1.0,True,60
111,1.0,True,60
113,1.0,True,60
114,1.0,True,60
115,1.0,True,60
116,1.0,True,60
117,1.0,True,60
118,0.9833333333333333,True,59
119,1.0,True,60
120,0.9333333333333333,True,56
121,1.0,True,60
123,0.8333333333333334,True,50
125,0.9333333333333333,True,56
126,1.0,True,60
